Book,Chapter,Nr,Full ref,PageQuestion,PageAnswer
OCPPT,1,1,OCPPT 1-1,0,428
OCPPT,1,2,OCPPT 1-2,4,
OCPPT,1,3,OCPPT 1-3,,
OCPPT,1,4,OCPPT 1-4,,
OCPPT,1,5,OCPPT 1-5,,
OCPPT,1,6,OCPPT 1-6,,
OCPPT,1,7,OCPPT 1-7,,
OCPPT,1,8,OCPPT 1-8,,
OCPPT,1,9,OCPPT 1-9,,
OCPPT,1,10,OCPPT 1-10,5,
OCPPT,1,11,OCPPT 1-11,,
OCPPT,1,12,OCPPT 1-12,,
OCPPT,1,13,OCPPT 1-13,,
OCPPT,1,14,OCPPT 1-14,,
OCPPT,1,15,OCPPT 1-15,,
OCPPT,1,16,OCPPT 1-16,,
OCPPT,1,17,OCPPT 1-17,5,428
OCPPT,1,18,OCPPT 1-18,,
OCPPT,1,19,OCPPT 1-19,8,429
OCPPT,1,20,OCPPT 1-20,,
OCPPT,1,21,OCPPT 1-21,,
OCPPT,1,22,OCPPT 1-22,,
OCPPT,1,23,OCPPT 1-23,,
OCPPT,1,24,OCPPT 1-24,,
OCPPT,1,25,OCPPT 1-25,,
OCPPT,1,26,OCPPT 1-26,,
OCPPT,1,27,OCPPT 1-27,,
OCPPT,1,28,OCPPT 1-28,,
OCPPT,1,29,OCPPT 1-29,,
OCPPT,1,30,OCPPT 1-30,,
OCPPT,1,31,OCPPT 1-31,,
OCPPT,1,32,OCPPT 1-32,,
OCPPT,1,33,OCPPT 1-33,,
OCPPT,1,34,OCPPT 1-34,,
OCPPT,1,35,OCPPT 1-35,12,429
OCPPT,1,36,OCPPT 1-36,,
OCPPT,1,37,OCPPT 1-37,,
OCPPT,1,38,OCPPT 1-38,12,429
OCPPT,1,39,OCPPT 1-39,,
OCPPT,1,40,OCPPT 1-40,,
OCPPT,1,41,OCPPT 1-41,,
OCPPT,1,42,OCPPT 1-42,,
OCPPT,1,43,OCPPT 1-43,,
OCPPT,1,44,OCPPT 1-44,14,429
OCPPT,1,45,OCPPT 1-45,,
OCPPT,1,46,OCPPT 1-46,,
OCPPT,1,47,OCPPT 1-47,,
OCPPT,1,48,OCPPT 1-48,,
OCPPT,1,49,OCPPT 1-49,,
OCPPT,1,50,OCPPT 1-50,16,429
OCPPT,2,1,OCPPT 2-1,,
OCPPT,2,2,OCPPT 2-2,18,433
OCPPT,2,3,OCPPT 2-3,,
OCPPT,2,4,OCPPT 2-4,,
OCPPT,2,5,OCPPT 2-5,,
OCPPT,2,6,OCPPT 2-6,,
OCPPT,2,7,OCPPT 2-7,,
OCPPT,2,8,OCPPT 2-8,,
OCPPT,2,9,OCPPT 2-9,,
OCPPT,2,10,OCPPT 2-10,,
OCPPT,2,11,OCPPT 2-11,,
OCPPT,2,12,OCPPT 2-12,,
OCPPT,2,13,OCPPT 2-13,,
OCPPT,2,14,OCPPT 2-14,20,
OCPPT,2,15,OCPPT 2-15,,
OCPPT,2,16,OCPPT 2-16,,
OCPPT,2,17,OCPPT 2-17,,
OCPPT,2,18,OCPPT 2-18,,
OCPPT,2,19,OCPPT 2-19,,
OCPPT,2,20,OCPPT 2-20,22,
OCPPT,2,21,OCPPT 2-21,,
OCPPT,2,22,OCPPT 2-22,,
OCPPT,2,23,OCPPT 2-23,23,434
OCPPT,2,24,OCPPT 2-24,,
OCPPT,2,25,OCPPT 2-25,,
OCPPT,2,26,OCPPT 2-26,24,435
OCPPT,2,27,OCPPT 2-27,,
OCPPT,2,28,OCPPT 2-28,,
OCPPT,2,29,OCPPT 2-29,,
OCPPT,2,30,OCPPT 2-30,,
OCPPT,2,31,OCPPT 2-31,,
OCPPT,2,32,OCPPT 2-32,,
OCPPT,2,33,OCPPT 2-33,,
OCPPT,2,34,OCPPT 2-34,,
OCPPT,2,35,OCPPT 2-35,26,
OCPPT,2,36,OCPPT 2-36,26,436
OCPPT,2,37,OCPPT 2-37,,
OCPPT,2,38,OCPPT 2-38,,
OCPPT,2,39,OCPPT 2-39,,
OCPPT,2,40,OCPPT 2-40,,
OCPPT,2,41,OCPPT 2-41,,
OCPPT,2,42,OCPPT 2-42,,
OCPPT,2,43,OCPPT 2-43,,
OCPPT,2,44,OCPPT 2-44,,
OCPPT,2,45,OCPPT 2-45,,
OCPPT,2,46,OCPPT 2-46,,
OCPPT,2,47,OCPPT 2-47,,
OCPPT,2,48,OCPPT 2-48,,
