DateTime,FullRef,Correct,TimeTaken,PC_05,PC_10,PC_20,PC_40,PC_80,TR_5,TR_10,TR_20,TR_40,TR_80,Chapter
12/1/2017 17:35,OCPPT 10-14,0,227.7,,,,,,,,,,,10
12/1/2017 17:37,OCPPT 9-46,0,117.8,,,,,,,,,,,9
12/1/2017 17:41,OCPPT 22-31,1,170.2,,,,,,,,,,,22
12/1/2017 17:43,OCPPT 2-35,1,113.3,,,,,,,,,,,2
12/1/2017 17:44,OCPPT 1-38,1,63.3,0.6,,,,,178,,,,,1
12/1/2017 17:46,OCPPT 22-27,1,129.9,0.8,,,,,153,,,,,22
12/1/2017 17:48,OCPPT 22-9,1,81.2,1,,,,,143,,,,,22
12/4/2017 19:17,OCPPT 8-13,1,150.9,1,,,,,138,,,,,8
12/4/2017 19:24,OCPPT 15-13,1,274.6,1,,,,,180,,,,,15
12/4/2017 19:31,OCPPT 18-6,1,151.7,1,0.8,,,,202,190,,,,18
12/4/2017 19:39,OCPPT 13-29,0,494.8,0.8,0.8,,,,296,224,,,,13
12/4/2017 19:43,OCPPT 14-25,1,169.1,0.8,0.9,,,,319,231,,,,14
12/4/2017 19:51,OCPPT 8-15,1,127.9,0.8,0.9,,,,313,225,,,,8
12/4/2017 19:55,OCPPT 2-36,0,224,0.6,0.8,,,,300,240,,,,2
12/4/2017 20:02,OCPPT 8-44,1,350.8,0.6,0.8,,,,351,277,,,,8
12/4/2017 20:04,OCPPT 8-29,1,102,0.8,0.8,,,,250,273,,,,8
12/4/2017 20:07,OCPPT 3-26,1,134.1,0.8,0.8,,,,241,280,,,,3
12/4/2017 20:09,OCPPT 3-33,1,114.9,0.8,0.8,,,,238,275,,,,3
12/4/2017 20:15,OCPPT 16-40,1,353.4,1,0.8,,,,271,285,,,,16
12/4/2017 20:22,OCPPT 14-38,0,301.5,0.8,0.7,0.75,,,258,304,247,,,14
12/4/2017 20:24,OCPPT 10-35,1,114.3,0.8,0.8,0.8,,,261,256,240,,,10
12/4/2017 20:27,OCPPT 9-10,1,183.3,0.8,0.8,0.85,,,274,257,244,,,9
12/4/2017 20:30,OCPPT 18-22,1,138.9,0.8,0.8,0.85,,,280,259,242,,,18
12/4/2017 20:33,OCPPT 15-28,1,183.1,0.8,0.9,0.85,,,236,254,247,,,15
12/4/2017 20:39,OCPPT 20-31,0,349.2,0.8,0.8,0.8,,,249,253,265,,,20
12/4/2017 20:41,OCPPT 8-11,1,82.8,0.8,0.8,0.8,,,241,251,262,,,8
