ItemNr,Question,Answer
1,Instanceof [4],myObject instanceof ClassNEWLINEComparing unrelated classes does not compileNEWLINECompare to null returns falseNEWLINEInstance can be compared to all interfaces as a subclass could implement
2,Equals [2 notes],Reflexive (a to a > true); Symmetric(a to b = b to a); Transitive (if a to b & b to c then a to c); Consistent (a to b = a to b) NEWLINEComparison to null >> false
3,Equals steps [4],Input Object obj; NEWLINECheck instance of; (Can also be used to compare arrays)NEWLINECast and compareNEWLINEReturn primitive boolean
4,hashCode [3 notes],Use ‘fixed’ variables. E.g. don't use weight which could changeNEWLINEWhen equals is true hashcode should be sameNEWLINEobj.hashCode();
5,Enum methods [4],s.name () // Returns valueNEWLINEs.ordinal () // Returns position as intNEWLINESeason.valueOf("Summer"); // Returns Enum constantNEWLINESeason.values() // Returns array of values
6,Enum notes [3],enum Season { WINTER SUMMER }; Upper case is conventionNEWLINESemicolon compulsory when more than values are listedNEWLINETry to keep enums simple
7,Enum usage [7],Do not extendNEWLINEDo not compare to int; NEWLINECan use in switch but use SUMMER not Season.SUMMER!NEWLINECan be privateNEWLINECan not be members but not localNEWLINECan be printed directly // Prints SUMMER not Season.SUMMERNEWLINEBoolean.False // Works is a thing..
8,Enum advanced [2],Can add state SUMMER (“warm”) also add field and private or default (!) constructor (not protected or public). Field may be public!NEWLINEOr assign method to each value and use overall abstract or default method. eg WINTER { public void doSometh() { ..} } SUM...
9,Member inner classes [6],Can be public private protected or defaultNEWLINECan be abstract or finalNEWLINECannot declare static membersNEWLINECompiling creates two .class files e.g. Outer.class & Outer$Inner.classNEWLINEHave access to all members of enclosing class using Outer.this.member or Level1.Level2.this.m or Level2.this.mNEWLINEInstantiated using new Outer.new Inner(); or outer.new Inner(); // Can't be instantiated directly from static (!) main method!
10,Local inner classes - Declared in method [5],Same as member inner except: NEWLINENo access specifier (as already local to the method). Cannot be staticNEWLINEOnly have access to local variables if effectively final (value only set once see p. 29)NEWLINECan be instantiated within method using new Inner (without object of outer class)NEWLINECan be instantiated within method object of outer class
